category_code,total_revenue
computers.ebooks,8784.390000000001
computers.peripherals.keyboard,19292.049999999927
construction.tools.screw,9055.920000000038
appliances.kitchen.coffee_grinder,6812.120000000015
electronics.video.projector,5865.33
apparel.shirt,636.0500000000001
electronics.camera.video,243.03
electronics.audio.headphone,199698.81999999649
appliances.kitchen.dishwasher,121165.67000000001
appliances.kitchen.juicer,43965.75999999997
electronics.tablet,119354.91000000057
auto.accessories.radar,2952.0700000000015
computers.peripherals.monitor,48945.37
furniture.living_room.cabinet,8032.309999999978
stationery.cartrige,6627.1999999999925
appliances.environment.climate,672.9099999999999
furniture.kitchen.chair,18520.04
furniture.bedroom.pillow,13852.380000000072
construction.tools.drill,185.16
electronics.audio.microphone,5837.110000000009
auto.accessories.compressor,906.71
appliances.kitchen.fryer,2099.1800000000003
appliances.kitchen.blender,106228.34999999982
electronics.telephone,43230.41999999966
medicine.tools.tonometer,9844.350000000006
appliances.kitchen.hood,243205.63000000035
furniture.bathroom.bath,3738.6499999999987
computers.gaming,2653.95
accessories.bag,18860.169999999885
sport.bicycle,1805.46
furniture.kitchen.table,116345.7600000011
kids.skates,11309.680000000002
appliances.personal.hair_cutter,15430.889999999994
furniture.bedroom.bed,700.4400000000005
appliances.kitchen.oven,144953.43999999986
electronics.audio.dictaphone,347.1
auto.accessories.alarm,2300.3399999999997
kids.bottles,9.22
appliances.environment.air_conditioner,56877.789999999906
electronics.audio.acoustic,51310.26000000001
stationery.stapler,393.11
computers.network.router,46435.94999999983
appliances.personal.scales,38047.94999999995
appliances.kitchen.microwave,117281.52000000144
computers.peripherals.mouse,29933.599999999937
stationery.battery,5491.510000000013
"\"NaN\"",1686868.2499999718
sport.trainer,94.88
electronics.clocks,276949.510000001
appliances.kitchen.grill,40266.87999999993
apparel.tshirt,467.15
appliances.kitchen.meat_grinder,85352.70999999976
electronics.camera.photo,8457.329999999996
construction.tools.heater,94.17
computers.components.cpu,61416.76999999992
electronics.smartphone,3864072.16000005
construction.tools.generator,689.56
furniture.living_room.shelving,6197.160000000012
apparel.trousers,277.5
auto.accessories.videoregister,14502.33
computers.peripherals.joystick,6727.760000000008
appliances.kitchen.kettle,120536.20999999999
computers.components.power_supply,310.01
computers.components.memory,1937.51
computers.notebook,913130.8799999985
computers.components.hdd,40708.24999999992
furniture.bedroom.blanket,12496.799999999987
computers.components.cdrw,1663.06
electronics.video.tv,1322409.919999984
computers.components.cooler,5071.789999999959
computers.peripherals.scanner,594.74
appliances.environment.fan,337.7699999999999
appliances.kitchen.mixer,20311.610000000044
appliances.environment.air_heater,20483.56999999997
country_yard.weather_station,116.95000000000002
computers.peripherals.printer,98341.1800000001
appliances.environment.water_heater,77284.7099999999
appliances.steam_cleaner,1365.58
computers.components.videocards,6235.73
computers.peripherals.camera,1648.7599999999995
appliances.environment.vacuum,528845.1800000019
stationery.paper,1011.069999999999
furniture.living_room.sofa,1871.3099999999997
appliances.kitchen.steam_cooker,6495.260000000004
furniture.living_room.chair,8781.289999999999
kids.dolls,231.41000000000003
kids.toys,1673.2299999999993
construction.tools.light,0.23
computers.desktop,36438.27
appliances.iron,143411.53000000026
appliances.kitchen.refrigerators,1123735.3099999987
appliances.kitchen.coffee_machine,16277.479999999992
appliances.ironing_board,17337.929999999997
computers.components.motherboard,1191.01
sport.tennis,874.3999999999997
apparel.glove,69045.23999999989
appliances.kitchen.washer,817654.4500000026
appliances.sewing_machine,56036.010000000155
appliances.personal.massager,14676.109999999979
appliances.kitchen.toster,10687.569999999992
