user_id,first_activity_time,last_activity_time
1.5159156254844334e+18,2020-01-12T09:12:38.000+05:30,2020-02-04T11:52:17.000+05:30
1.5159156254441234e+18,2020-01-11T12:48:02.000+05:30,2020-01-26T11:54:29.000+05:30
1.5159156254696054e+18,2020-01-29T07:04:41.000+05:30,2020-01-29T07:04:41.000+05:30
1.5159156254442368e+18,2020-01-13T11:14:11.000+05:30,2020-01-13T11:14:11.000+05:30
1.5159156254537567e+18,2020-01-18T13:55:17.000+05:30,2020-01-18T13:55:17.000+05:30
1.5159156254437386e+18,2020-01-25T06:23:23.000+05:30,2020-01-25T06:23:23.000+05:30
1.5159156254423478e+18,2020-01-26T10:27:57.000+05:30,2020-01-26T10:27:57.000+05:30
1.5159156254608765e+18,2020-01-30T12:54:29.000+05:30,2020-01-30T12:54:29.000+05:30
1.515915625484631e+18,2020-01-25T05:24:04.000+05:30,2020-02-01T12:57:02.000+05:30
1.5159156254661038e+18,2020-01-31T04:25:16.000+05:30,2020-01-31T05:14:05.000+05:30
1.5159156254868298e+18,2020-02-01T09:23:34.000+05:30,2020-02-01T09:23:34.000+05:30
1.5159156254567222e+18,2020-01-14T13:31:18.000+05:30,2020-01-14T13:31:18.000+05:30
1.515915625449275e+18,2020-01-27T15:54:13.000+05:30,2020-01-27T15:54:13.000+05:30
1.515915625441087e+18,2020-01-16T09:11:48.000+05:30,2020-01-16T09:11:48.000+05:30
1.5159156254590344e+18,2020-01-28T07:07:38.000+05:30,2020-01-30T14:51:06.000+05:30
1.515915625454713e+18,2020-01-18T11:40:29.000+05:30,2020-01-30T13:06:52.000+05:30
1.5159156254679537e+18,2020-01-18T09:01:09.000+05:30,2020-02-01T08:22:45.000+05:30
1.5159156254435361e+18,2020-01-13T09:04:11.000+05:30,2020-01-14T06:56:55.000+05:30
1.5159156254648028e+18,2020-01-19T12:14:08.000+05:30,2020-01-19T12:14:08.000+05:30
1.5159156254436396e+18,2020-01-18T11:29:32.000+05:30,2020-01-18T11:29:32.000+05:30
1.5159156254585298e+18,2020-01-19T11:46:23.000+05:30,2020-01-19T11:46:23.000+05:30
1.5159156254507182e+18,2020-01-16T12:22:59.000+05:30,2020-01-16T12:22:59.000+05:30
1.5159156254698248e+18,2020-01-22T05:57:16.000+05:30,2020-01-22T05:57:16.000+05:30
1.5159156254447962e+18,2020-01-26T08:00:45.000+05:30,2020-01-26T08:00:45.000+05:30
1.515915625484582e+18,2020-01-11T12:55:27.000+05:30,2020-02-05T12:23:09.000+05:30
1.5159156254824294e+18,2020-02-01T06:02:54.000+05:30,2020-02-01T06:02:54.000+05:30
1.5159156254454083e+18,2020-01-19T12:09:12.000+05:30,2020-01-19T12:09:12.000+05:30
1.5159156254425283e+18,2020-01-15T11:54:28.000+05:30,2020-01-15T11:54:28.000+05:30
1.5159156254861885e+18,2020-02-01T14:48:11.000+05:30,2020-02-03T14:02:34.000+05:30
1.5159156254420984e+18,2020-01-17T11:34:27.000+05:30,2020-01-17T11:34:27.000+05:30
1.515915625464895e+18,2020-01-11T09:01:36.000+05:30,2020-01-11T09:01:36.000+05:30
1.5159156254487183e+18,2020-01-14T07:02:41.000+05:30,2020-01-14T07:02:41.000+05:30
1.5159156254622996e+18,2020-01-18T09:13:25.000+05:30,2020-01-18T09:13:25.000+05:30
1.515915625441957e+18,2020-01-24T10:28:09.000+05:30,2020-01-24T10:28:09.000+05:30
1.5159156254435686e+18,2020-02-01T09:43:27.000+05:30,2020-02-01T09:43:27.000+05:30
1.5159156254694267e+18,2020-01-18T07:40:03.000+05:30,2020-01-18T07:40:03.000+05:30
1.5159156254542948e+18,2020-01-24T12:22:39.000+05:30,2020-01-24T12:22:39.000+05:30
1.5159156254427302e+18,2020-02-02T09:41:33.000+05:30,2020-02-02T09:41:33.000+05:30
1.5159156254815135e+18,2020-01-14T13:03:56.000+05:30,2020-01-14T13:03:56.000+05:30
1.5159156254547092e+18,2020-01-25T08:29:16.000+05:30,2020-02-01T06:45:48.000+05:30
1.5159156254765092e+18,2020-01-24T14:36:20.000+05:30,2020-01-24T14:36:20.000+05:30
1.515915625476357e+18,2020-02-01T10:27:11.000+05:30,2020-02-01T10:27:11.000+05:30
1.5159156254519634e+18,2020-01-25T13:30:30.000+05:30,2020-01-25T13:48:44.000+05:30
1.5159156254650803e+18,2020-01-26T12:16:19.000+05:30,2020-01-26T12:16:19.000+05:30
1.5159156254530872e+18,2020-01-12T07:06:14.000+05:30,2020-01-12T07:06:14.000+05:30
1.515915625498297e+18,2020-01-21T08:37:54.000+05:30,2020-01-21T08:37:54.000+05:30
1.5159156254462193e+18,2020-01-15T14:11:38.000+05:30,2020-01-15T14:11:38.000+05:30
1.5159156254567565e+18,2020-01-12T09:30:41.000+05:30,2020-02-01T09:12:32.000+05:30
1.515915625441014e+18,2020-01-18T12:32:07.000+05:30,2020-01-27T07:44:25.000+05:30
1.5159156254546803e+18,2020-01-21T13:17:11.000+05:30,2020-01-21T13:17:11.000+05:30
1.5159156254607347e+18,2020-02-01T08:34:23.000+05:30,2020-02-01T08:34:23.000+05:30
1.5159156254673357e+18,2020-01-26T11:25:42.000+05:30,2020-01-26T11:25:42.000+05:30
1.515915625452813e+18,2020-01-12T11:41:32.000+05:30,2020-01-12T11:41:32.000+05:30
1.5159156254604078e+18,2020-01-28T06:24:28.000+05:30,2020-01-28T06:24:28.000+05:30
1.5159156254447178e+18,2020-01-31T07:12:49.000+05:30,2020-01-31T07:12:49.000+05:30
1.5159156254923958e+18,2020-07-08T13:44:09.000+05:30,2020-07-08T13:44:09.000+05:30
1.5159156254602033e+18,2020-01-19T04:16:17.000+05:30,2020-01-19T04:16:17.000+05:30
1.5159156254633551e+18,2020-02-01T08:31:07.000+05:30,2020-02-01T09:03:37.000+05:30
1.515915625472107e+18,2020-01-22T11:25:06.000+05:30,2020-01-23T11:55:06.000+05:30
1.5159156254469885e+18,2020-01-27T14:03:44.000+05:30,2020-01-27T14:03:44.000+05:30
1.5159156254932168e+18,2020-02-03T07:17:25.000+05:30,2020-02-03T07:17:25.000+05:30
1.5159156254569024e+18,2020-01-19T08:13:31.000+05:30,2020-01-19T08:13:31.000+05:30
1.5159156254495045e+18,2020-01-28T12:45:38.000+05:30,2020-01-28T12:45:38.000+05:30
1.515915625448859e+18,2020-01-16T13:50:46.000+05:30,2020-01-16T13:50:46.000+05:30
1.515915625466399e+18,2020-01-19T09:43:35.000+05:30,2020-01-19T09:43:35.000+05:30
1.5159156254416115e+18,2020-01-20T12:43:30.000+05:30,2020-01-20T12:43:30.000+05:30
1.5159156254438298e+18,2020-01-29T14:51:27.000+05:30,2020-01-29T14:51:27.000+05:30
